country,Richness,AvTD,Signicance
AMERICAN SAMOA,914,78.36,Higher
REUNION,2245,77.68,Higher
SAMOA,1696,77.55,Higher
SOUTH GEORGIA AND THE SOUTH SANDWICH ISLANDS,150,77.46,Higher
SEYCHELLES,855,77.45,Higher
VANUATU,1961,77.45,Higher
SAINT HELENA,737,77.13,Higher
GRENADA,1274,76.53,Higher
MAURITIUS,2196,76.34,Higher
MICRONESIA,1726,76.34,Higher
COOK ISLANDS,2083,76.31,Higher
FRENCH SOUTHERN TERRITORIES,241,76.25,Higher
PALAU,1363,75.81,Higher
FRENCH POLYNESIA,2863,75.8,Higher
TAIWAN,8124,75.56,Higher
SOLOMON ISLANDS,3183,75.53,Higher
SAINT KITTS AND NEVIS,720,75.41,Higher
COSTA RICA,15622,75.4,Higher
PAPUA NEW GUINEA,15304,75.33,Higher
FIJI,3120,75.22,Higher
TRINIDAD AND TOBAGO,3878,75.1,Higher
NORTHERN MARIANA ISLANDS,884,74.92,Higher
DOMINICA,1987,74.91,Higher
GUADELOUPE,3265,74.87,Higher
JAPAN,10994,74.71,Higher
NORFOLK ISLAND,713,74.71,Higher
PANAMA,14006,74.5,Higher
GUAM,946,74.47,Higher
ECUADOR,25463,74.45,Higher
WALLIS AND FUTUNA ISLANDS,328,74.19,Higher
SAO TOME AND PRINCIPE,868,74.06,Higher
COMOROS,1651,73.96,Higher
FALKLAND ISLANDS (MALVINAS),304,73.91,Higher
SAINT LUCIA,903,73.9,Higher
NICARAGUA,7952,73.85,Higher
BHUTAN,2846,73.83,Higher
PUERTO RICO,5124,73.74,Higher
PHILIPPINES,12675,73.69,Higher
SOUTH KOREA,4099,73.55,Higher
INDONESIA,27667,73.45,Higher
HONG KONG,1804,73.31,Higher
PITCAIRN,326,73.21,Higher
HONDURAS,8013,73.08,Higher
SRI LANKA,5910,73.08,Higher
GREENLAND,788,72.97,Higher
MARTINIQUE,2573,72.94,Higher
SINGAPORE,2982,72.9,Higher
DOMINICAN REPUBLIC,6517,72.7,Higher
JAMAICA,8495,72.59,Higher
RWANDA,2197,72.54,Higher
TONGA,1320,72.31,Higher
VIETNAM,11364,72.23,Higher
EL SALVADOR,5200,72.22,Higher
MALAYSIA,17101,72.22,Higher
COLOMBIA,33172,72.13,Higher
UGANDA,3911,72.12,Higher
GUATEMALA,10061,72.11,Higher
