Country,Region,Subregion,Intermediate,Development
Algeria,Africa,Northern Africa,,Developing
Egypt,Africa,Northern Africa,,Developing
Libya,Africa,Northern Africa,,Developing
Morocco,Africa,Northern Africa,,Developing
Sudan,Africa,Northern Africa,,Developing
Tunisia,Africa,Northern Africa,,Developing
Western Sahara,Africa,Northern Africa,,Developing
British Indian Ocean Territory,Africa,Sub-Saharan Africa,Eastern Africa,Developing
Burundi,Africa,Sub-Saharan Africa,Eastern Africa,Developing
Comoros,Africa,Sub-Saharan Africa,Eastern Africa,Developing
Djibouti,Africa,Sub-Saharan Africa,Eastern Africa,Developing
Eritrea,Africa,Sub-Saharan Africa,Eastern Africa,Developing
Ethiopia,Africa,Sub-Saharan Africa,Eastern Africa,Developing
French Southern Territories,Africa,Sub-Saharan Africa,Eastern Africa,Developing
Kenya,Africa,Sub-Saharan Africa,Eastern Africa,Developing
Madagascar,Africa,Sub-Saharan Africa,Eastern Africa,Developing
Malawi,Africa,Sub-Saharan Africa,Eastern Africa,Developing
Mauritius,Africa,Sub-Saharan Africa,Eastern Africa,Developing
Mayotte,Africa,Sub-Saharan Africa,Eastern Africa,Developing
Mozambique,Africa,Sub-Saharan Africa,Eastern Africa,Developing
Réunion,Africa,Sub-Saharan Africa,Eastern Africa,Developing
Rwanda,Africa,Sub-Saharan Africa,Eastern Africa,Developing
Seychelles,Africa,Sub-Saharan Africa,Eastern Africa,Developing
Somalia,Africa,Sub-Saharan Africa,Eastern Africa,Developing
South Sudan,Africa,Sub-Saharan Africa,Eastern Africa,Developing
Uganda,Africa,Sub-Saharan Africa,Eastern Africa,Developing
United Republic of Tanzania,Africa,Sub-Saharan Africa,Eastern Africa,Developing
Zambia,Africa,Sub-Saharan Africa,Eastern Africa,Developing
Zimbabwe,Africa,Sub-Saharan Africa,Eastern Africa,Developing
Angola,Africa,Sub-Saharan Africa,Middle Africa,Developing
Cameroon,Africa,Sub-Saharan Africa,Middle Africa,Developing
Central African Republic,Africa,Sub-Saharan Africa,Middle Africa,Developing
Chad,Africa,Sub-Saharan Africa,Middle Africa,Developing
Congo,Africa,Sub-Saharan Africa,Middle Africa,Developing
Democratic Republic of the Congo,Africa,Sub-Saharan Africa,Middle Africa,Developing
Equatorial Guinea,Africa,Sub-Saharan Africa,Middle Africa,Developing
Gabon,Africa,Sub-Saharan Africa,Middle Africa,Developing
Sao Tome and Principe,Africa,Sub-Saharan Africa,Middle Africa,Developing
Botswana,Africa,Sub-Saharan Africa,Southern Africa,Developing
Lesotho,Africa,Sub-Saharan Africa,Southern Africa,Developing
Namibia,Africa,Sub-Saharan Africa,Southern Africa,Developing
South Africa,Africa,Sub-Saharan Africa,Southern Africa,Developing
Swaziland,Africa,Sub-Saharan Africa,Southern Africa,Developing
Benin,Africa,Sub-Saharan Africa,Western Africa,Developing
Burkina Faso,Africa,Sub-Saharan Africa,Western Africa,Developing
Cabo Verde,Africa,Sub-Saharan Africa,Western Africa,Developing
Côte d'Ivoire,Africa,Sub-Saharan Africa,Western Africa,Developing
Gambia,Africa,Sub-Saharan Africa,Western Africa,Developing
Ghana,Africa,Sub-Saharan Africa,Western Africa,Developing
Guinea,Africa,Sub-Saharan Africa,Western Africa,Developing
Guinea-Bissau,Africa,Sub-Saharan Africa,Western Africa,Developing
Liberia,Africa,Sub-Saharan Africa,Western Africa,Developing
Mali,Africa,Sub-Saharan Africa,Western Africa,Developing
Mauritania,Africa,Sub-Saharan Africa,Western Africa,Developing
Niger,Africa,Sub-Saharan Africa,Western Africa,Developing
Nigeria,Africa,Sub-Saharan Africa,Western Africa,Developing
Saint Helena,Africa,Sub-Saharan Africa,Western Africa,Developing
Senegal,Africa,Sub-Saharan Africa,Western Africa,Developing
Sierra Leone,Africa,Sub-Saharan Africa,Western Africa,Developing
Togo,Africa,Sub-Saharan Africa,Western Africa,Developing
Anguilla,Americas,Latin America and the Caribbean,Caribbean,Developing
Antigua and Barbuda,Americas,Latin America and the Caribbean,Caribbean,Developing
Aruba,Americas,Latin America and the Caribbean,Caribbean,Developing
Bahamas,Americas,Latin America and the Caribbean,Caribbean,Developing
Barbados,Americas,Latin America and the Caribbean,Caribbean,Developing
"Bonaire, Sint Eustatius and Saba",Americas,Latin America and the Caribbean,Caribbean,Developing
British Virgin Islands,Americas,Latin America and the Caribbean,Caribbean,Developing
Cayman Islands,Americas,Latin America and the Caribbean,Caribbean,Developing
Cuba,Americas,Latin America and the Caribbean,Caribbean,Developing
Curaçao,Americas,Latin America and the Caribbean,Caribbean,Developing
Dominica,Americas,Latin America and the Caribbean,Caribbean,Developing
Dominican Republic,Americas,Latin America and the Caribbean,Caribbean,Developing
Grenada,Americas,Latin America and the Caribbean,Caribbean,Developing
Guadeloupe,Americas,Latin America and the Caribbean,Caribbean,Developing
Haiti,Americas,Latin America and the Caribbean,Caribbean,Developing
Jamaica,Americas,Latin America and the Caribbean,Caribbean,Developing
