ALGERIA,Developing,Africa,Northern Africa
EGYPT,Developing,Africa,Northern Africa
LIBYA,Developing,Africa,Northern Africa
MOROCCO,Developing,Africa,Northern Africa
SUDAN,Developing,Africa,Northern Africa
TUNISIA,Developing,Africa,Northern Africa
WESTERN SAHARA,Developing,Africa,Northern Africa
BRITISH INDIAN OCEAN TERRITORY,Developing,Africa,Sub-Saharan Africa
BURUNDI,Developing,Africa,Sub-Saharan Africa
COMOROS,Developing,Africa,Sub-Saharan Africa
DJIBOUTI,Developing,Africa,Sub-Saharan Africa
ERITREA,Developing,Africa,Sub-Saharan Africa
ETHIOPIA,Developing,Africa,Sub-Saharan Africa
FRENCH SOUTHERN TERRITORIES,Developing,Africa,Sub-Saharan Africa
KENYA,Developing,Africa,Sub-Saharan Africa
MADAGASCAR,Developing,Africa,Sub-Saharan Africa
MALAWI,Developing,Africa,Sub-Saharan Africa
MAURITIUS,Developing,Africa,Sub-Saharan Africa
MAYOTTE,Developing,Africa,Sub-Saharan Africa
MOZAMBIQUE,Developing,Africa,Sub-Saharan Africa
REUNION,Developing,Africa,Sub-Saharan Africa
RWANDA,Developing,Africa,Sub-Saharan Africa
SEYCHELLES,Developing,Africa,Sub-Saharan Africa
SOMALIA,Developing,Africa,Sub-Saharan Africa
SOUTH SUDAN,Developing,Africa,Sub-Saharan Africa
UGANDA,Developing,Africa,Sub-Saharan Africa
TANZANIA,Developing,Africa,Sub-Saharan Africa
ZAMBIA,Developing,Africa,Sub-Saharan Africa
ZIMBABWE,Developing,Africa,Sub-Saharan Africa
ANGOLA,Developing,Africa,Sub-Saharan Africa
CAMEROON,Developing,Africa,Sub-Saharan Africa
CENTRAL AFRICAN REPUBLIC,Developing,Africa,Sub-Saharan Africa
CHAD,Developing,Africa,Sub-Saharan Africa
CONGO,Developing,Africa,Sub-Saharan Africa
D. R. CONGO,Developing,Africa,Sub-Saharan Africa
EQUATORIAL GUINEA,Developing,Africa,Sub-Saharan Africa
GABON,Developing,Africa,Sub-Saharan Africa
SAO TOME AND PRINCIPE,Developing,Africa,Sub-Saharan Africa
BOTSWANA,Developing,Africa,Sub-Saharan Africa
LESOTHO,Developing,Africa,Sub-Saharan Africa
NAMIBIA,Developing,Africa,Sub-Saharan Africa
SOUTH AFRICA,Developing,Africa,Sub-Saharan Africa
SWAZILAND,Developing,Africa,Sub-Saharan Africa
BENIN,Developing,Africa,Sub-Saharan Africa
BURKINA FASO,Developing,Africa,Sub-Saharan Africa
CABO VERDE,Developing,Africa,Sub-Saharan Africa
COTE D'IVOIRE,Developing,Africa,Sub-Saharan Africa
GAMBIA,Developing,Africa,Sub-Saharan Africa
GHANA,Developing,Africa,Sub-Saharan Africa
GUINEA,Developing,Africa,Sub-Saharan Africa
GUINEA-BISSAU,Developing,Africa,Sub-Saharan Africa
LIBERIA,Developing,Africa,Sub-Saharan Africa
MALI,Developing,Africa,Sub-Saharan Africa
MAURITANIA,Developing,Africa,Sub-Saharan Africa
NIGER,Developing,Africa,Sub-Saharan Africa
NIGERIA,Developing,Africa,Sub-Saharan Africa
SAINT HELENA,Developing,Africa,Sub-Saharan Africa
SENEGAL,Developing,Africa,Sub-Saharan Africa
SIERRA LEONE,Developing,Africa,Sub-Saharan Africa
TOGO,Developing,Africa,Sub-Saharan Africa
ANGUILLA,Developing,Americas,Latin America and the Caribbean
ANTIGUA AND BARBUDA,Developing,Americas,Latin America and the Caribbean
ARUBA,Developing,Americas,Latin America and the Caribbean
BAHAMAS,Developing,Americas,Latin America and the Caribbean
BARBADOS,Developing,Americas,Latin America and the Caribbean
BONAIRE,Developing,Americas,Latin America and the Caribbean
BRITISH VIRGIN ISLANDS,Developing,Americas,Latin America and the Caribbean
CAYMAN ISLANDS,Developing,Americas,Latin America and the Caribbean
CUBA,Developing,Americas,Latin America and the Caribbean
CURACAO,Developing,Americas,Latin America and the Caribbean
DOMINICA,Developing,Americas,Latin America and the Caribbean
DOMINICAN REPUBLIC,Developing,Americas,Latin America and the Caribbean
GRENADA,Developing,Americas,Latin America and the Caribbean
GUADELOUPE,Developing,Americas,Latin America and the Caribbean
HAITI,Developing,Americas,Latin America and the Caribbean
JAMAICA,Developing,Americas,Latin America and the Caribbean
MARTINIQUE,Developing,Americas,Latin America and the Caribbean
MONTSERRAT,Developing,Americas,Latin America and the Caribbean
PUERTO RICO,Developing,Americas,Latin America and the Caribbean
SAINT BARTHOLEMY,Developing,Americas,Latin America and the Caribbean
SAINT KITTS AND NEVIS,Developing,Americas,Latin America and the Caribbean
SAINT LUCIA,Developing,Americas,Latin America and the Caribbean
SAINT MARTIN (FRENCH PART),Developing,Americas,Latin America and the Caribbean
SAINT VINCENT AND THE GRENADINES,Developing,Americas,Latin America and the Caribbean
SINT MAARTEN (DUTCH PART),Developing,Americas,Latin America and the Caribbean
TRINIDAD AND TOBAGO,Developing,Americas,Latin America and the Caribbean
TURKS AND CAICOS ISLANDS,Developing,Americas,Latin America and the Caribbean
UNITED STATES VIRGIN ISLANDS,Developing,Americas,Latin America and the Caribbean
BELIZE,Developing,Americas,Latin America and the Caribbean
COSTA RICA,Developing,Americas,Latin America and the Caribbean
EL SALVADOR,Developing,Americas,Latin America and the Caribbean
